31,Don't Lose your way - Kill la Kill OST [Piano]-ccSckvQYnCA
32,Don't say 'lazy' - K-ON! ED [Piano]-iIaKjSw_raM
33,EONIAN - Expelled from Paradise ED [Piano]-XUuvTRBwdy0
34,Enter Enter Mission! - Girls und Panzer ED [Piano]-5M5YE5chxfY
35,Esoragoto - Sankarea OP [Piano]-32Dq5BgC9xE
36,Euterpe - Guilty Crown OST [Piano]-_8UZMD3A2rs
37,Everyday World - Oregairu S2 ED [Piano]-NX8egPe6Ulc
38,Extra Magic Hour - Amagi Brilliant Park OP [Piano]-P4Weq5rsiJw
39,Faraway - Little Busters! OST - [Piano]-oo-8qAnkFbo
40,Fubuki - Kantai Collection ED [Piano]-x1OMibyamkw
41,Girl Inside - Honkai Impact 3rd OST [Piano]-PHjTKqLsIOg
42,God knows
43,Guren no Yumiya
44,Guren no Yumiya (Full ver
45,Guren no Yumiya (TV size) - Attack on Titan OP1 [Piano]-OB8_wfxWSGs
46,Gurenge - Demon Slayer OP [Piano]-NQMmZ4Psb7w
47,Hacking to the Gate - Steins;Gate OP [Piano]-ssxxoxQGzFg
48,Hacking to the Gate [β-worldline]-B1BIkkvmfrk
49,Heartwarming Soundtrack from GochiUsa [Piano]-r-zBI5rBV2E
50,Hello Alone - Oregairu ED [Piano]-xaTznrAN6t8
51,Here - Mahoutsukai no Yome OP [Piano]-2M-uGZnixPA
52,Hikaru Nara - Shigatsu wa Kimi no Uso OP [Piano]-zsVAbS8xmaU
53,History Maker - Yuri!!! on ICE OP [Piano]-l1MQLfiDksQ
54,Homura - Demon Slayer the Movie - Mugen Train [Piano]-XJVpSTTUpKg
55,Ichiban no Takaramono - Angel Beats! OST [Piano]--liXLunc-JQ
56,Imagination - Haikyuu!! OP1 [Piano]-dDqTfayUW0w
57,Jiyuu no Tsubasa - Attack on Titan OP2 [Piano Duet with Tehishter]-NqRPg_0Xdqk
58,Kamado Tanjiro no Uta - Demon Slayer OST [Piano]-1x6n44EcJI8
59,Kanashimi no ato ni - AKB0048 OST [Piano]-Js6Ql0QGpeI
60,Kantai Collection - Soundtrack medley [Piano]-fmjRR7zXuIg
61,Kibou ni Tsuite - AKB0048 OP [Piano]-82MXhcZF2ZY
62,Kibou no Hana - Kotoura-san ED [Piano]-C_cGGG_29Y4
63,Killy Killy Joker - Selector Infected WIXOSS OP [Piano]-lC7emV4DpJM
64,Kimi ni Matsuwaru Mystery - Hyouka ED 2 [Piano]-YtskqokHgk4
65,Kimi no Shiranai Monogatari - Bakemonogatari ED [Piano]-2erCU87gCJE
66,Kizuna Music - BanG Dream! S2 OP [Piano]-gFO_GqHxOpY
67,Koibumi (Shizuru's Theme) - Rewrite Soundtrack [Piano]-673XidPutqk
68,Kokoro no Senritsu - Tari Tari Insert song [Piano]-6y7rQ_2o5jI
69,Kono Namida wo Kimi ni Sasagu - AKB0048 Next Stage ED [Piano Duet with TheIshter]-XF2LDlP84PY
70,KonoSuba Piano Suite - Soundtrack Medley [Piano]-bXkr4bEcQ0w
71,Kuchizuke Diamond - Yamada-kun and the Seven Witches OP [Piano]-P6C3szts5C4
72,Kuusou Mesorogiwi - Mirai Nikki OP 1 [Piano]-drlB2RT_XiA
73,Last Stardust - Fate_Stay Night - Unlimited Blade Works OST [Piano]-CVAynY96frc
74,LiSA Oath Sign - Fate_Zero OP [Piano]-krQdykIbABE
75,LiSA piano medley - Animenz Live 2017 in Shanghai-bKE2cDNqCNI
76,Light my Fire - Shakugan no Shana III (final) OP [Piano]-Gkso6B6AIXY
77,Little Busters! - Little Busters! OP [Piano]-dyRRcNRANhU
78,Lumis Eterne - Aria the Origination OST [Piano]-e8lF4_kdsPo
79,Mahou Shoujo Madoka Magica - Soundtrack Medley [Piano]-4xVyBmkEZX4
80,Main Theme - Detective Conan OST [Piano]-iVRDKRlIcOc
81,Main Theme from Non Non Biyori [Piano]-rpGbj32qnJE
82,Masshiro World - Mikakunin de Shinkoukei ED [Piano]-slB_qlxA6tQ
83,Megumeru ~ Cuckool mix 2007 ~ Clannad OP [Piano]-RKbsMP_M4vU
84,Melissa - Fullmetal Alchemist OP1 [Piano]-KVgkE7M6QYA
85,Michishirube - Violet Evergarden ED [Piano]-Vit_RIHhDMg
86,Miiro - Kantai Collection OP [Piano]-pzmMPXgX0xM
87,Mikansei Stride - Hyouka OP 2 [Piano]-EzLEUB_5_yE
88,Moonlight Densetsu - Sailor Moon OP [Piano]-Q3XBUQYbIuY
89,My Dearest  - Guilty Crown OP1 [Piano]-Pi8xsZXibIc
90,My Dearest - Guilty Crown OP [10 Year Anniversary Edition] [Piano]-lAXJPop9LaY
91,My Hero Academia - Boku no Hero Academia OST [Piano]-x-vFu1KzsSM
92,My Precious Friend - Isshuukan Friends OST [Piano]-tCdTbn5V8HM
93,"My Soul, your Beats! - Angel Beats! OP [Piano]-eJInGGAPZgI"
94,Mysterious Girlfriend X - 'Dream' theme [Piano]-ezAjHNZlmg4
95,Nagi no Asukara Medley - All OP and ED [Piano]-1zKejX-up-k
96,Namae no nai Kaibutsu - Psycho-Pass ED [Piano]-HmTbgYEMio4
97,NieR - Automata ED - Weight of the World [Piano]-kyBqq_Ibdvg
98,NieR - Automata OST [Piano]-RsWX6GYSTxc
99,Niji no Ressha - AKB0048 OST [Piano]-ZFXbGYsZmMA
100,Ninelie - Kabaneri of the Iron Fortress ED [Piano]-AWNbcxXDmt0
101,Nodame Cantabile OP - Allegro Cantabile [Piano]-7ZxpWfomnww
102,"Nostalgia Anime Medley [Evangelion, Laputa, Detective Conan] - Animenz Live 2017 in Shenzhen-Nc-opdy7Xa4"
103,Only my Railgun (Full ver
104,Only my Railgun (TV-size) - A Certain Scientific Railgun OP1 [Piano]-BuSiE4Vcxew
105,Owari no Sekai Kara - Yanagi Nagi [Piano]-kBOiIhTapos
106,Patema Inverse - Sakasama no Patema ED [Piano]-x1EriGcSc8M
107,Philosophyz - Rewrite OP _ Theme song [Piano]-f8AF9rKbuc4
108,Pierce the Heavens with Your Drill!! - Gurren Lagann OST [Piano]-oC1lCNl_cmM
109,Pokémon Theme - Gotta catch 'em all! + Pokémon medley [Piano]-nIyFliZUxG8
110,Resonance - Soul Eater OP1 [Piano]-idc9uORwguU
111,Rising Hope - Mahouka Koukou no Rettousei OP [Piano]-yMAYTJxJ-_k
112,STYX HELIX - Re -ZERO ED [Piano]-Ny9B2rwV9Qg
113,Sakura - Eureka seven OP 4 [Piano]-sPFARWR1ugE
114,Satori Maiden ~ 3rd eye - Satori Komeiji's Theme - Touhou project [Piano]-0c9bea_thaM
115,Sayonara Memories - Supercell [Piano]-yEXT1V1G68E
116,Secret Base - AnoHana ED [Piano]-jE0Ym96vmCA
117,Shakugan no Shana Medley - all Openings [Piano]-gC8-XayvKAo
118,Shirushi - Sword Art Online II ED3 [Piano]-uiYPmcdqYp4
119,Silhouette - Naruto Shippuden OP16 [Piano]-5fJlXg46MmU
120,Sincerely - Violet Evergarden OP [Piano]-dJ0Xcu0vJNU
121,Sirius - KILL la KILL OP1 [Piano]-b_PlDz6kDuo
122,Sister's Noise - A Certain Scientific Railgun S OP1 [Piano]-8-cWN6Pz-Lg
123,Snow halation - Love Live! OST [Piano]-Z4KmL4KI0cQ
124,Sora to Kimi no Message - Suisei no Gargantia ED [Piano]-aAup3EVCjyU
125,Sparkling Daydream - Chuunibyou demo Koi ga Shitai! OP [Piano]-tw5VuuqftGc
126,Studio Ghibli Piano Medley (6 movies)-lg4i5xCMJpI
127,Sugar Song and Bitter Step - Kekkai Sensen ED [Piano]-2yo5FHH2KnM
128,Suzumiya Haruhi Medley - Piano Duet [Animenz + TehIshter]-VCu7yAFUXmA
129,Sweet & Sweet Cherry - Golden Time ED 1 [Piano]--B0qamMvNkI
130,Sword Art Online - Swordland (Main Theme) [Piano]-0308z4AyFcE
131,Tabi no Tochuu - Spice and Wolf OP [Piano]--REzc3GDcJk
132,Tamashii no Refrain - Neon Genesis Evangelion - Death and Rebirth Theme Song [Piano]-MhGkt31PzXw
133,The Everlasting Guilty Crown - Guilty Crown OP2 [Piano]-ozDObIWJ4NA
134,The Reluctant Heroes - Attack on Titan OST [Piano]-D-gDPh9ZpFk
135,This Game - No Game No Life OP [Piano]-JRQbVNzmCK0
136,This game (2021) - No Game No Life [Piano]-j137kcnJs8U
137,Tokimeki Poporon ♪ - GochiUsa S2 ED [Piano]-eIPsF6xOI_Q
138,Unbeatable Network - Gatchaman Crowds OST [Piano]-YmTgA-QZk1k
139,Unravel - Tokyo Ghoul OP [Piano]-sEQf5lcnj_o
140,We Are! - One Piece OP1 [Piano]-_iHe7-RhP1I
141,Wiosna - Katawa Shoujo title screen music [Piano]-CLk5Fos6daE
142,World End - Code Geass R2 OP 2 [Piano]-gDs8hbfxIa4
143,Yasashisa no Riyuu - Hyouka OP [Piano]-wUarPH_U3Eg
144,Yoake Umarekuru Shoujo - Shakugan no Shana ED1 [Piano]-KOBBQNI2kVo
145,Yume wa Nando mo Umarekawaru - AKB0048 Ending [Piano]-VdpQllMMAeI
146,Zelda - A Link to the Past OST [Piano]-06h6sFr9Wug
147,Zen Zen Zense - Kimi no Na wa OST [Piano]-3KpFbty0t_8
148,aLIEz - Aldnoah
149,to the beginning - Fate_zero Season2 OP [Piano]-5c2ekbbP8zw
150,unlasting - SAO Alicization War of Underworld ED [Piano]-Nh7JtKYhK-Q
151,→unfinished→  - Accel World ED [Piano]-vz5n-aV9lzs
